id,label,modularity_class,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,clustering,triangles
n0,machine learning,1,3.0,0.5304878048780488,0.6181353767560652,0.2098478924545986,1.0,0.011069720976897561,0.13037285295349813,1556
n1,regression,1,4.0,0.4473007712082262,0.5090996168582399,0.02916817591583916,0.4837885296673176,0.005252362437269996,0.27605633802816903,686
n2,neural,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325519,1.0,171
n3,linear,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325519,1.0,171
n4,module,6,3.0,0.5067961165048543,0.5804597701149424,0.15693446871224562,0.9055409874807738,0.008261278083387336,0.17020367469021508,1195
n5,logistic,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325519,1.0,171
n6,discuss,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325519,1.0,171
n7,algorithm,1,3.0,0.424390243902439,0.46360153256705283,0.004664393456394248,0.2948011335043066,0.0027491706992475063,0.546031746031746,344
n8,multiple,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325519,1.0,171
n9,recommender,1,4.0,0.406858924395947,0.4527458492975761,0.004022981890350364,0.27197118331918485,0.0028010339167643243,0.5444444444444444,343
n10,networks,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325517,1.0,171
n11,algebra,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325517,1.0,171
n12,implementing,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325517,1.0,171
n13,octave,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325517,1.0,171
n14,unsupervised,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325517,1.0,171
n15,practice,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325517,1.0,171
n16,machines,7,4.0,0.4081313526192338,0.4553001277139231,0.04841284710064819,0.23833721526198984,0.003090614449919318,0.4864864864864865,342
n17,practices,1,4.0,0.39635535307517084,0.4310344827586233,0.0,0.1856796705349805,0.0015748059837325519,1.0,171
n18,introduce,1,4.0,0.4257748776508972,0.46791187739463835,0.007149480880862339,0.2867271057434225,0.0027706357202386166,0.5428571428571428,342
n19,learning,1,3.0,0.424390243902439,0.46360153256705283,0.004664393456394248,0.2948011335043066,0.0027491706992475067,0.546031746031746,344
n20,documents,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n21,deep,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n22,intelligent,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n23,house,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n24,ipython,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n25,notebook,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n26,prices,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n27,classification,1,3.0,0.3996937212863706,0.4399744572158401,0.003822263913165282,0.25967386515904173,0.002865420867183052,0.5195195195195195,346
n28,case,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n29,image,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n30,features,1,4.0,0.4250814332247557,0.46855044699872417,0.021518734615714002,0.28893319087406166,0.0029007280246476012,0.4864864864864865,342
n31,retrieval,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n32,build,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n33,classifier,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n34,document,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n35,images,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n36,similarity,1,4.0,0.3670886075949367,0.3992656449553029,0.0,0.1405953311896159,0.001625711347007503,1.0,171
n37,clustering,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n38,association,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n39,observations,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n40,group,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n41,rule,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n42,technique,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n43,large,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n44,mining,1,3.0,0.41395717684377475,0.4549808429118817,0.020435018040362386,0.2575604802035144,0.0029011293560073834,0.4879089615931721,343
n45,predict,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n46,training,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n47,techniques,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054463,1.0,171
n48,predictive,1,3.0,0.42301458670988656,0.47381864623244274,0.009788593845138194,0.3921358806563391,0.003946025297677075,0.3591893780573026,514
n49,set,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054465,1.0,171
n50,tools,2,3.0,0.4669051878354204,0.5121328224776515,0.03830358427466003,0.5074345153225686,0.003944577297961315,0.3422077922077922,527
n51,advance,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054465,1.0,171
n52,associaton,1,4.0,0.381021897810219,0.41267560664112674,0.0,0.1580236565341991,0.0015756547321054465,1.0,171
n53,theory,0,4.0,0.38382352941176473,0.42784163473818954,0.004525987852949869,0.22369015758286012,0.0029749577878402586,0.5135135135135135,342
n54,analyst,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n55,balances,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n56,closer,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n57,commercial,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n58,desired,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n59,extracted,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n60,fashion,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n61,fields,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n62,financial,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n63,follow,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n64,gaining,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n65,hottest,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n66,increase,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n67,jobs,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n68,quantitative,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n69,scientist,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n70,story,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n71,aspects,0,4.0,0.35104236718224613,0.38585568326947883,0.0,0.10512419138668758,0.0017414049759566358,1.0,171
n72,ads,3,4.0,0.3832599118942731,0.41666666666666935,0.0,0.17182117364019978,0.0015365616894059669,1.0,171
n73,placing,3,4.0,0.3832599118942731,0.41666666666666935,0.0,0.17182117364019978,0.0015365616894059669,1.0,171
n74,scoring,3,4.0,0.3832599118942731,0.41666666666666935,0.0,0.17182117364019978,0.0015365616894059669,1.0,171
n75,trading,3,4.0,0.3832599118942731,0.41666666666666935,0.0,0.17182117364019978,0.0015365616894059669,1.0,171
n76,analytics,2,4.0,0.435,0.4774904214559405,0.007023785164705013,0.38838232130336864,0.002738935214301402,0.49786628733997157,350
